date,check,Confirmed,Recovered,Deaths
2020-03-17,7546,177,41,1
2020-03-16,7045,147,41,1
2020-03-15,6545,114,37,1
2020-03-14,6176,82,37,1
2020-03-13,5713,75,35,1
2020-03-12,5496,70,34,1
2020-03-11,5232,59,35,1
2020-03-10,4848,53,34,1
2020-03-09,4682,50,33,1
2020-03-08,4518,50,33,1
2020-03-07,4366,50,33,1
2020-03-06,4234,48,31,1
2020-03-05,4023,47,31,1
2020-03-04,3895,43,31,1
2020-03-03,3680,43,31,1
2020-03-02,3519,43,30,1
2020-03-01,3252,42,30,1
2020-02-29,2953,42,29,0
2020-02-28,2798,41,28,0
2020-02-27,2437,40,28,0
2020-02-26,2064,40,27,0
2020-02-25,1798,37,24,0
2020-02-24,1580,35,21,0
2020-02-23,1453,35,21,0
2020-02-22,1355,35,21,0 
2020-02-21,1252,35,20,0
2020-02-20,1151,35,19,0
2020-02-19,1052,35,17,0
2020-02-18,957,35,17,0
2020-02-17,872,34,15,0
2020-02-16,837,34,15,0
2020-02-15,821,34,14,0
2020-02-14,804,33,13,0
2020-02-13,777,33,11,0
2020-02-12,823,33,11,0
2020-02-11,799,33,10,0
2020-02-10,702,32,10,0
2020-02-09,689,32,10,0
2020-02-08,679,32,10,0
2020-02-07,654,25,10,0
2020-02-06,615,25,9,0
2020-02-05,595,25,8,0
2020-02-04,549,25,8,0
2020-02-03,492,19,8,0
2020-02-02,485,19,8,0
2020-02-01,382,19,8,0
2020-01-31,344,19,8,0
2020-01-30,280,19,8,0
2020-01-29,202,19,0,0
2020-01-28,158,14,0,0
2020-01-27,136,8,0,0
2020-01-26,102,8,0,0
2020-01-25,84,5,0,0
2020-01-24,60,5,0,0
2020-01-23,53,4,0,0
2020-01-22,46,4,0,0
2020-01-21,38,2,0,0
2020-01-20,32,2,0,0
2020-01-19,30,2,0,0
2020-01-18,26,2,0,0
2020-01-17,24,2,0,0
2020-01-16,21,1,0,0
